userName,score,at,content
Atik Nur Hidayati,5,05/05/2026 3:45,sangat membantu dalam pengecekan dana
Aditya Fitrah,5,05/05/2026 3:45,mantap
Rizal Sofiyandi,3,05/05/2026 3:44,"Kenapa kalau log in itu adanya tidak penerima Upah, sedangkan saya bekerja di PT jadi saya seorang penerima upah? mohon di perbaiki kembali untuk log in atau pendaftaran nya. terimakasih"
Adrian Firdaus,5,05/05/2026 3:41,hebatt
Eka Sugenti,4,05/05/2026 3:34,"terima kasih sudah mempermudah kami,semoga kedepan nya lebih baik lagi"
Dshlia,1,05/05/2026 3:34,"makin buruk dan kecewa,claim 2015 kebawah gk bisa lg,mohon di perbaiki dan dikembalikan lg seperti biasa,saya sudah nunggu"" agar perusahaan non aktif, tiba sudah tidak aktig lg malah gak bisa👎👎👎👎"
Kusma Cirabak,5,05/05/2026 3:34,bagus sangat membantu
Bintang Bersinar,1,05/05/2026 3:32,makin kesini makin mengherankan !!! ktnya mmpermudah.. tapi justru mmpersulit rakyat yg mau pencairan uang mereka sndri...
Dimasketut Yulianto,1,05/05/2026 3:32,"Tolong ini jmo lebih di permudah,masa mau ngambil uang sendiri aja ribet kasian untuk orang yg gak ada berkas berkas nya saya ksih bintang 1 lah"
Dimas Arya,5,05/05/2026 3:29,mantap
Lukman Efendi,5,05/05/2026 3:29,mantap
Mhd UB,2,05/05/2026 3:27,terlalu banyak kode. yg terbaru kode 040. kenapa harus ada kode tsbt? supaya apa?
Arrazi Ghava,1,05/05/2026 3:23,KORUP KORUP
Yayan Mardiyono,1,05/05/2026 3:19,kode 040 makin kesini bukan makin mempermudah malah mempersulit
luluk farida,1,05/05/2026 3:18,"jmo selalu tidak merespon saat di buka aplikasinya. jadi selalu kembali alias mental saat dibuka, kenapa? tolong di perbaiki, dan sama sekalingk kebuka aplikasinya. jekek bgt"
Gilang Fadillah,1,05/05/2026 3:13,"mau pengkinian data di apk eroro ,di lapak asik eror juga,padahal mau pencairan jht di bawah 10jt,harus nya bisa lewat apk,tpi ini malah eror² terus aneh udah bolak balik nyoba tiap hari"
Vebry,4,05/05/2026 3:11,good
Zul Kar,1,05/05/2026 3:06,cuma bisa cek saldo.. bnyak menu cuma jadi pajangan tidak berfungsi
Rian Clp,5,05/05/2026 3:06,cepat
Yaki Sigalingging,5,05/05/2026 3:05,"keren, mantap"
Surya Darmansyah,5,05/05/2026 3:03,Aplikasi ini sangat membantu serta memudahkah para pekerja untuk kebutuhan pengecekan atau klaim
Dwi Aprilia,1,05/05/2026 3:03,"verifikasi biometrik nya di perbaiki donk ,masa tiap hari nyoba 3x gagal terus"
Dedi Wijaya,1,05/05/2026 3:00,tidak bisa menggunakan klaim jht kpj 2010 di aplikasi jmo apa apaan ini
Cecep Cahyadi,5,05/05/2026 2:58,"membantu sekali , mantap"
Nur Annisa,1,05/05/2026 2:57,"buat apa ada aplikasi ini kalo ujung2nya mesti le kantor cabang.! bukanya mempermudah, padahal mau ambil hak kita aja susah!! sistemnya di bikin ribet!"
Rika Kartika,1,05/05/2026 2:52,apliksi anying
firman DJ,5,05/05/2026 2:50,cukup mudah dan cepat
Iwandi Simaremare,1,05/05/2026 2:50,"jmo parah, ngak jls terus maintance"
Dicky Apriana Putra,5,05/05/2026 2:44,good
astri sekar,5,05/05/2026 2:39,bagus tp agak susah di iphone
Heris Padilah,5,05/05/2026 2:32,mudah di cakap
Sukisma Wilanda,5,05/05/2026 2:32,cepat
septi marina,5,05/05/2026 2:29,bagus cepat
Suhandi Andi,5,05/05/2026 2:29,oke banget
10Eki Indriyani,5,05/05/2026 2:23,masyaallah terimakasih jmo
Erwin Mulyadi,5,05/05/2026 2:19,g bisa kebuka trus aplikasi nya
Sak Ciu,5,05/05/2026 2:14,cepat dan mudah
Buyung Anggara,1,05/05/2026 2:12,kenapa sih Jamsostek mempersulit orang untuk ambil haknya sendiri itu kan uang pekerja hak mereka kenapa kalo mau claim harus di persulit? mana sekarang ada lagi kode 040 kasian mereka yang lagi butuh duit mau nyairin JHT tapi di persulit
Aienur Ridho,5,05/05/2026 2:08,aplikasi terus berhenti
Siswanto Sys,5,05/05/2026 2:06,top
Zuleha Leha,5,05/05/2026 2:03,bagus
Hamdhani Dani,5,05/05/2026 1:56,kata Pepi terbaik lah
sendy,5,05/05/2026 1:50,good job
Muhammad Awal,5,05/05/2026 1:48,"bagus, dan mudah diakses"
Nicolaus Domaking,5,05/05/2026 1:45,Mantap
Tri Febry,5,05/05/2026 1:45,pelayanan baik dan cepat terima kasih banyak.
rahmawati ekaputri,5,05/05/2026 1:42,program yg sangat bermanfaat
Artapratama Kurniawan,5,05/05/2026 1:39,nice
RANGGA RANGGA,5,05/05/2026 1:38,sanggat mudah di guna kan terimakasih untuk aplikasi nya
Selvi Ana,5,05/05/2026 1:36,sangat bagus
Sushantiie 1203,5,05/05/2026 1:36,pelayanan sangat baik
Suri 23,5,05/05/2026 1:33,oke lah
Ester Jelita,1,05/05/2026 1:26,ambil uang sendiri semakin di persulit. .tutup saja aplikasinya kalau ssh untuk di gunakan‼️
Ibnu Salik,4,05/05/2026 1:26,sangaat bagus dan bermanfaat apk nya
Middank Middanksr.171,5,05/05/2026 1:25,mantap
Ade Chandra,5,05/05/2026 1:23,mantap dan lancar
Jackson Laro,5,05/05/2026 1:22,terimakasih bapak/ibu dengan aplikasi ini bisa memudahkan kami untuk mengklaim hak kami
Fasanasokhi Giawa,5,05/05/2026 1:21,pelayanannya sanggat membantu
Eka Spt,5,05/05/2026 1:21,aplikasi nya bagus sangat membantu bagi kami yang jauh dari kantor BPJS ketenagakerjaan 🙂
Aulia Nurdin,5,05/05/2026 1:18,sangat baik
lalu yandi,5,05/05/2026 1:17,terbaik
Anggi Irawan,5,05/05/2026 1:16,trimakasih sngat membantu sekali
Rahmanto Maku,1,05/05/2026 1:14,hampir setiap hari gangguan sistem..NDA bisa klaim BPJS online 🤦
Ade Wahyu Ari Chandra,1,05/05/2026 1:12,"sangat buruk, terlalu bertele tele, uang kami, tapi saat mau ambil uang, seakan kami minjam ke kalian, 💩"
Dholorosa Tikneon,5,05/05/2026 1:10,sangat membantu
ari darmawan,1,05/05/2026 1:10,masa kerja tahun 2000an ga bisa claim disini saldo di bawah 10 jt
Idad Sunarya,5,05/05/2026 1:02,bermanfaa
Susila Wati,5,05/05/2026 0:59,mudah utk pencairan dana dan mengecek status aktiv
Yana Suryana,1,05/05/2026 0:55,banyak elor
TONI AHNU,1,05/05/2026 0:49,maaf min ini saya BPJS tahun 2014 kok gak bisa klaim lewat jmo. padahal saldo 10jtaan
Aldo Saputra,1,05/05/2026 0:49,najis bgt baru nemu kartu jamsostek lawas gue. pas mau ambil uang ga bisa. kudu lasik apaan sih gue aja nemu didompet cuma kartu doangan.. pas di klik suruh masukin berkas kerja? udh kena banjir
Supri Yanto,5,05/05/2026 0:45,sangat membantu
gery apul,5,05/05/2026 0:42,sangat membantu masyarakat
Syarifuddin Syarifuddin,1,05/05/2026 0:35,aplikasi yg ribet klem manfaat kya ngisi formulir lamaran kerja panjang gk ad kemudahan klam hak sendiri ajj ribet banget
Rangga Ngat,5,05/05/2026 0:28,baik
yusuf sumarna,5,05/05/2026 0:18,luar biasa
Arkaro Rama,5,05/05/2026 0:14,aplikasi simple dan mudah di pelajari maju terus JMO indonesia
Mama Oel,5,05/05/2026 0:09,super satset
indri Dakajo,5,04/05/2026 23:59,cepat tanpa ribet
anton irawan,5,04/05/2026 23:41,mantap
Kurniawan Awan,1,04/05/2026 17:27,"login engga bisa, stuck di tampilan masukan email sama pasword tidak ada pergerakan"
Dharma rumengan (Bon'z),5,04/05/2026 16:22,mantap
Dodi Irawan,5,04/05/2026 15:45,saya sangat senang jmo sangat membantu saya sangat puas
Budi Setiawan,5,04/05/2026 15:42,mantap
Ainul Rifqhi,4,04/05/2026 15:26,aplikasi gabisa dibuka knp?? padahal akun udh bener email udh bener password udh bener aplikasi udh di update jga knp gabisa di buka ini tolong penjelasannya!!
Abbas Nambung,5,04/05/2026 14:15,sangat membantu
Ridwan Khalid,5,04/05/2026 13:26,baik
Isep Nugraha,4,04/05/2026 12:55,josss
Sani aryapermana,1,04/05/2026 12:53,di puter puter katanya harus online tp gk bisa trus harus ke kantor cabang sampe kantor cabang kata security harus online. lewat lapak asik sistem bermasalah aja. haruss gimna dong ini
Hakim Lukman,5,04/05/2026 12:48,baik
Pengguna Google,5,04/05/2026 12:37,kenapa jmo susah untuk login
Gattan Arienda,5,04/05/2026 12:29,mantap
Andi Hasman,1,04/05/2026 12:23,tidak bisa terbuka aplikasi nya
Bgayo Hfbr,5,04/05/2026 12:23,mantap
Dyah Melyana,1,04/05/2026 12:23,"biometrik nya eror"" teruuussssss"
agus gunawan,2,04/05/2026 12:12,"Tidak berkerja di android 9, walau keterangan nya berfungsi di perangkat anda ada requirement lain ngga ya"
Apsa98 Official,5,04/05/2026 12:08,keren
idris sandi,5,04/05/2026 12:05,sangat membantu
Sheza Saiqa,5,04/05/2026 11:56,sangat jelas infonya
Dian Taurusia,5,04/05/2026 11:52,oke
